	Iozone: Performance Test of File I/O
	        Version $Revision: 3.247 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, 
	             Jean-Marc Zucconi, Jeff Blomberg,
	             Erik Habbinga, Kris Strecker, Walter Wong.

	Run began: Wed May 17 13:17:46 2006

	Auto Mode
	Using maximum file size of 131072 kilobytes.
	Using Maximum Record Size 16384 KB

	Machine = Linux dino3.ccrl-nece.de 2.6.9-11.ELsmp #1 SMP Wed Jun 8 16:59:12 CDT 2005 x86_64 x86_64 x86_64 GNU
	Command line used: ./iozone -a -g 128m -q 16m -M -f /tmp/iozone.dat
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd  record  stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read rewrite    read   fwrite frewrite   fread  freread
           16384       4  278544  703359  1478416  1524666 1246118  695204 1270164 1219862 1217312   273870   682636 1433662  1467963
           16384       8  296333  785915  1728061  1790231 1583149  803926 1563803 1610682 1536942   289428   741359 1697497  1757585
           16384      16  306592  843144  1922771  1976867 1852935  890150 1811419 1888219 1791164   291001   795771 1889309  1939649
           16384      32  304127  846592  1974651  2020221 1963817  904932 1909361 1588199 1891909   293640   786328 1949831  1989285
           16384      64  300518  836259  1869469  1896975 1913136  919621 1877847 1526359 1883664   292895   772834 1886301  1919173
           16384     128  301998  832773  1889049  1912443 1944699  924546 1902226 1512951 1918477   293434   769959 1872628  1919870
           16384     256  302706  830579  1877129  1914041 1901542  936056 1879285 1523652 1864802   283843   716336 1877386  1913136
           16384     512  286880  747001  1406462  1420269 1425809  789472 1396288  947975 1389540   262850   585789 1385199  1406606
           16384    1024  280576  690052  1098337  1105013 1102478  725694 1106347  706425 1106116   263683   558913 1098636  1112743
           16384    2048  282941  689422  1102637  1107114 1107488  760172 1105902  639525 1111825   279695   593771 1099884  1107846
           16384    4096  283779  678765  1101382  1109348 1107025  717653 1100183  543126 1097162   314756   663265 1095920  1104551
           16384    8192  285535  682893  1099673  1105529 1094158  729476 1101965  420565 1102107   412623   875309 1103593  1113645
           16384   16384  286874  692975  1106722  1120198 1120271  708493 1117229  286517 1118976   284345   689824 1114331  1121203
           32768       4  283443  713820  1476698  1546398 1239374  679355 1297232 1310192 1220813   275583   673156 1415892  1467834
           32768       8  292918  782201  1722188  1784161 1542095  792800 1590290 1683520 1536320   286990   740751 1712745  1762968
           32768      16  299889  822019  1904673  1952096 1806890  864320 1807793 1910445 1780186   289790   770610 1867864  1923223
